,Date,Closing Price (USD)_ADA,24h Open (USD)_ADA,24h High (USD)_ADA,24h Low (USD)_ADA,Closing Price (USD)_ADA,24h Open (USD)_ADA,24h High (USD)_ADA,24h Low (USD)_ADA,Closing Price (USD)_BAT,24h Open (USD)_BAT,24h High (USD)_BAT,24h Low (USD)_BAT,Closing Price (USD)_BCH,24h Open (USD)_BCH,24h High (USD)_BCH,24h Low (USD)_BCH,Closing Price (USD)_BSV,24h Open (USD)_BSV,24h High (USD)_BSV,24h Low (USD)_BSV,Closing Price (USD)_BTC,24h Open (USD)_BTC,24h High (USD)_BTC,24h Low (USD)_BTC,Closing Price (USD)_BTG,24h Open (USD)_BTG,24h High (USD)_BTG,24h Low (USD)_BTG,Closing Price (USD)_DAI,24h Open (USD)_DAI,24h High (USD)_DAI,24h Low (USD)_DAI,Closing Price (USD)_DASH,24h Open (USD)_DASH,24h High (USD)_DASH,24h Low (USD)_DASH,Closing Price (USD)_DCR,24h Open (USD)_DCR,24h High (USD)_DCR,24h Low (USD)_DCR,Closing Price (USD)_DOGE,24h Open (USD)_DOGE,24h High (USD)_DOGE,24h Low (USD)_DOGE,Closing Price (USD)_EOS,24h Open (USD)_EOS,24h High (USD)_EOS,24h Low (USD)_EOS,Closing Price (USD)_ETC,24h Open (USD)_ETC,24h High (USD)_ETC,24h Low (USD)_ETC,Closing Price (USD)_ETH,24h Open (USD)_ETH,24h High (USD)_ETH,24h Low (USD)_ETH,Closing Price (USD)_IOTA,24h Open (USD)_IOTA,24h High (USD)_IOTA,24h Low (USD)_IOTA,Closing Price (USD)_LINK,24h Open (USD)_LINK,24h High (USD)_LINK,24h Low (USD)_LINK,Closing Price (USD)_LSK,24h Open (USD)_LSK,24h High (USD)_LSK,24h Low (USD)_LSK,Closing Price (USD)_NEO,24h Open (USD)_NEO,24h High (USD)_NEO,24h Low (USD)_NEO,Closing Price (USD)_QTUM,24h Open (USD)_QTUM,24h High (USD)_QTUM,24h Low (USD)_QTUM,Closing Price (USD)_USDT,24h Open (USD)_USDT,24h High (USD)_USDT,24h Low (USD)_USDT,Closing Price (USD)_XEM,24h Open (USD)_XEM,24h High (USD)_XEM,24h Low (USD)_XEM,Closing Price (USD)_XLM,24h Open (USD)_XLM,24h High (USD)_XLM,24h Low (USD)_XLM,Closing Price (USD)_XMR,24h Open (USD)_XMR,24h High (USD)_XMR,24h Low (USD)_XMR,Closing Price (USD)_XRP,24h Open (USD)_XRP,24h High (USD)_XRP,24h Low (USD)_XRP,Closing Price (USD)_XTZ,24h Open (USD)_XTZ,24h High (USD)_XTZ,24h Low (USD)_XTZ,Closing Price (USD)_ZRX,24h Open (USD)_ZRX,24h High (USD)_ZRX,24h Low (USD)_ZRX
0,2013-10-01,,,,,,,,,,,,,,,,,,,,,123.65499,124.30466,124.75166,122.56349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013-10-02,,,,,,,,,,,,,,,,,,,,,125.455,123.65499,125.7585,123.63383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013-10-03,,,,,,,,,,,,,,,,,,,,,108.58483,125.455,125.66566,83.32833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013-10-04,,,,,,,,,,,,,,,,,,,,,118.67466,108.58483,118.675,107.05816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013-10-05,,,,,,,,,,,,,,,,,,,,,121.33866,118.67466,121.93633,118.00566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013-10-06,,,,,,,,,,,,,,,,,,,,,120.65533,121.33866,121.85216,120.5545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013-10-07,,,,,,,,,,,,,,,,,,,,,121.795,120.65533,121.99166,120.43199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013-10-08,,,,,,,,,,,,,,,,,,,,,123.033,121.795,123.64016,121.35066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013-10-09,,,,,,,,,,,,,,,,,,,,,124.049,123.033,124.7835,122.59266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013-10-10,,,,,,,,,,,,,,,,,,,,,125.96116,124.049,128.01683,123.81966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
