,Date,Closing Price (USD)_ADA,Closing Price (USD)_BAT,Closing Price (USD)_BCH,Closing Price (USD)_BSV,Closing Price (USD)_BTC,Closing Price (USD)_BTG,Closing Price (USD)_DAI,Closing Price (USD)_DASH,Closing Price (USD)_DCR,Closing Price (USD)_DOGE,Closing Price (USD)_EOS,Closing Price (USD)_ETC,Closing Price (USD)_ETH,Closing Price (USD)_IOTA,Closing Price (USD)_LINK,Closing Price (USD)_LSK,Closing Price (USD)_NEO,Closing Price (USD)_QTUM,Closing Price (USD)_USDT,Closing Price (USD)_XEM,Closing Price (USD)_XLM,Closing Price (USD)_XMR,Closing Price (USD)_XRP,Closing Price (USD)_XTZ,Closing Price (USD)_ZRX
0,2013-10-01,,,,,123.65499,,,,,,,,,,,,,,,,,,,,
1,2013-10-02,,,,,125.455,,,,,,,,,,,,,,,,,,,,
2,2013-10-03,,,,,108.58483,,,,,,,,,,,,,,,,,,,,
3,2013-10-04,,,,,118.67466,,,,,,,,,,,,,,,,,,,,
4,2013-10-05,,,,,121.33866,,,,,,,,,,,,,,,,,,,,
5,2013-10-06,,,,,120.65533,,,,,,,,,,,,,,,,,,,,
6,2013-10-07,,,,,121.795,,,,,,,,,,,,,,,,,,,,
7,2013-10-08,,,,,123.033,,,,,,,,,,,,,,,,,,,,
8,2013-10-09,,,,,124.049,,,,,,,,,,,,,,,,,,,,
9,2013-10-10,,,,,125.96116,,,,,,,,,,,,,,,,,,,,
10,2013-10-11,,,,,125.27966,,,,,,,,,,,,,,,,,,,,
11,2013-10-12,,,,,125.9275,,,,,,,,,,,,,,,,,,,,
12,2013-10-13,,,,,126.38333,,,,,,,,,,,,,,,,,,,,
13,2013-10-14,,,,,135.24199,,,,,,,,,,,,,,,,,,,,
14,2013-10-15,,,,,133.20333,,,,,,,,,,,,,,,,,,,,
15,2013-10-16,,,,,142.76333,,,,,,,,,,,,,,,,,,,,
16,2013-10-17,,,,,137.92333,,,,,,,,,,,,,,,,,,,,
17,2013-10-18,,,,,142.95166,,,,,,,,,,,,,,,,,,,,
18,2013-10-19,,,,,152.55183,,,,,,,,,,,,,,,,,,,,
19,2013-10-20,,,,,160.33883,,,,,,,,,,,,,,,,,,,,
20,2013-10-21,,,,,164.31499,,,,,,,,,,,,,,,,,,,,
21,2013-10-22,,,,,177.63333,,,,,,,,,,,,,,,,,,,,
22,2013-10-23,,,,,188.29716,,,,,,,,,,,,,,,,,,,,
23,2013-10-24,,,,,200.70166,,,,,,,,,,,,,,,,,,,,
24,2013-10-25,,,,,180.355,,,,,,,,,,,,,,,,,,,,
25,2013-10-26,,,,,175.03166,,,,,,,,,,,,,,,,,,,,
26,2013-10-27,,,,,177.6965,,,,,,,,,,,,,,,,,,,,
27,2013-10-28,,,,,187.15983,,,,,,,,,,,,,,,,,,,,
28,2013-10-29,,,,,192.75666,,,,,,,,,,,,,,,,,,,,
29,2013-10-30,,,,,197.4,,,,,,,,,,,,,,,,,,,,
30,2013-10-31,,,,,196.02499,,,,,,,,,,,,,,,,,,,,
31,2013-11-01,,,,,198.04883,,,,,,,,,,,,,,,,,,,,
32,2013-11-02,,,,,198.93233,,,,,,,,,,,,,,,,,,,,
33,2013-11-03,,,,,200.543,,,,,,,,,,,,,,,,,,,,
34,2013-11-04,,,,,210.3075,,,,,,,,,,,,,,,,,,,,
35,2013-11-05,,,,,225.02,,,,,,,,,,,,,,,,,,,,
36,2013-11-06,,,,,248.25333,,,,,,,,,,,,,,,,,,,,
37,2013-11-07,,,,,262.32666,,,,,,,,,,,,,,,,,,,,
38,2013-11-08,,,,,294.48699,,,,,,,,,,,,,,,,,,,,
39,2013-11-09,,,,,331.10325,,,,,,,,,,,,,,,,,,,,
40,2013-11-10,,,,,285.8875,,,,,,,,,,,,,,,,,,,,
41,2013-11-11,,,,,304.97974,,,,,,,,,,,,,,,,,,,,
42,2013-11-12,,,,,338.137,,,,,,,,,,,,,,,,,,,,
43,2013-11-13,,,,,357.48,,,,,,,,,,,,,,,,,,,,
44,2013-11-14,,,,,402.954,,,,,,,,,,,,,,,,,,,,
45,2013-11-15,,,,,409.10375,,,,,,,,,,,,,,,,,,,,
46,2013-11-16,,,,,420.21649,,,,,,,,,,,,,,,,,,,,
47,2013-11-17,,,,,437.29725,,,,,,,,,,,,,,,,,,,,
48,2013-11-18,,,,,510.6025,,,,,,,,,,,,,,,,,,,,
49,2013-11-19,,,,,693.65,,,,,,,,,,,,,,,,,,,,
50,2013-11-20,,,,,531.54249,,,,,,,,,,,,,,,,,,,,
51,2013-11-21,,,,,574.71599,,,,,,,,,,,,,,,,,,,,
52,2013-11-22,,,,,681.33,,,,,,,,,,,,,,,,,,,,
53,2013-11-23,,,,,774.18,,,,,,,,,,,,,,,,,,,,
54,2013-11-24,,,,,746.19374,,,,,,,,,,,,,,,,,,,,
55,2013-11-25,,,,,768.8475,,,,,,,,,,,,,,,,,,,,
56,2013-11-26,,,,,789.36475,,,,,,,,,,,,,,,,,,,,
57,2013-11-27,,,,,893.1815,,,,,,,,,,,,,,,,,,,,
58,2013-11-28,,,,,934.355,,,,,,,,,,,,,,,,,,,,
59,2013-11-29,,,,,1068.363,,,,,,,,,,,,,,,,,,,,
60,2013-11-30,,,,,1154.92593,,,,,,,,,,,,,,,,,,,,
61,2013-12-01,,,,,1099.51926,,,,,,,,,,,,,,,,,,,,
62,2013-12-02,,,,,1019.78966,,,,,,,,,,,,,,,,,,,,
63,2013-12-03,,,,,1028.845,,,,,,,,,,,,,,,,,,,,
64,2013-12-04,,,,,1071.2848,,,,,,,,,,,,,,,,,,,,
65,2013-12-05,,,,,1139.33083,,,,,,,,,,,,,,,,,,,,
66,2013-12-06,,,,,1004.61633,,,,,,,,,,,,,,,,,,,,
67,2013-12-07,,,,,759.43041,,,,,,,,,,,,,,,,,,,,
68,2013-12-08,,,,,689.81,,,,,,,,,,,,,,,,,,,,
69,2013-12-09,,,,,841.83966,,,,,,,,,,,,,,,,,,,,
70,2013-12-10,,,,,916.77599,,,,,,,,,,,,,,,,,,,,
71,2013-12-11,,,,,967.42866,,,,,,,,,,,,,,,,,,,,
72,2013-12-12,,,,,866.29003,,,,,,,,,,,,,,,,,,,,
73,2013-12-13,,,,,911.23204,,,,,,,,,,,,,,,,,,,,
74,2013-12-14,,,,,889.81946,,,,,,,,,,,,,,,,,,,,
75,2013-12-15,,,,,848.9975,,,,,,,,,,,,,,,,,,,,
76,2013-12-16,,,,,868.95316,,,,,,,,,,,,,,,,,,,,
77,2013-12-17,,,,,653.80483,,,,,,,,,,,,,,,,,,,,
78,2013-12-18,,,,,654.06266,,,,,,,,,,,,,,,,,,,,
79,2013-12-19,,,,,553.69166,,,,,,,,,,,,,,,,,,,,
80,2013-12-20,,,,,693.05883,,,,,,,,,,,,,,,,,,,,
81,2013-12-21,,,,,649.38965,,,,,,,,,,,,,,,,,,,,
82,2013-12-22,,,,,595.95883,,,,,,,,,,,,,,,,,,,,
83,2013-12-23,,,,,647.68316,,,,,,,,,,,,,,,,,,,,
84,2013-12-24,,,,,671.58116,,,,,,,,,,,,,,,,,,,,
85,2013-12-25,,,,,659.84333,,,,,,,,,,,,,,,,,,,,
86,2013-12-26,,,,,702.00083,,,,,,,,,,,,,,,,,,,,
87,2013-12-27,,,,,758.01016,,,,,,,,,,,,,,,,,,,,
88,2013-12-28,,,,,734.01166,,,,,,,,,,,,,,,,,,,,
89,2013-12-29,,,,,717.92623,,,,,,,,,,,,,,,,,,,,
90,2013-12-30,,,,,752.82022,,,,,,,,,,,,,,,,,,,,
91,2013-12-31,,,,,744.17249,,,,,,,,,,,,,,,,,,,,
92,2014-01-01,,,,,768.40783,,,,,,,,,,,,,,,,,,,,
93,2014-01-02,,,,,769.09849,,,,,,,,,,,,,,,,,,,,
94,2014-01-03,,,,,804.02719,,,,,,,,,,,,,,,,,,,,
95,2014-01-04,,,,,813.31748,,,,,,,,,,,,,,,,,,,,
96,2014-01-05,,,,,871.11583,,,,,,,,,,,,,,,,,,,,
97,2014-01-06,,,,,970.65083,,,,,,,,,,,,,,,,,,,,
98,2014-01-07,,,,,962.46447,,,,,,,,,,,,,,,,,,,,
99,2014-01-08,,,,,855.75933,,,,,,,,,,,,,,,,,,,,
100,2014-01-09,,,,,860.84166,,,,,,,,,,,,,,,,,,,,
101,2014-01-10,,,,,847.5325,,,,,,,,,,,,,,,,,,,,
102,2014-01-11,,,,,892.26115,,,,,,,,,,,,,,,,,,,,
103,2014-01-12,,,,,916.69666,,,,,,,,,,,,,,,,,,,,
104,2014-01-13,,,,,873.27168,,,,,,,,,,,,,,,,,,,,
105,2014-01-14,,,,,863.69888,,,,,,,,,,,,,,,,,,,,
106,2014-01-15,,,,,853.25666,,,,,,,,,,,,,,,,,,,,
107,2014-01-16,,,,,874.07416,,,,,,,,,,,,,,,,,,,,
108,2014-01-17,,,,,842.19173,,,,,,,,,,,,,,,,,,,,
109,2014-01-18,,,,,834.86666,,,,,,,,,,,,,,,,,,,,
110,2014-01-19,,,,,838.42916,,,,,,,,,,,,,,,,,,,,
111,2014-01-20,,,,,881.87583,,,,,,,,,,,,,,,,,,,,
112,2014-01-21,,,,,873.28916,,,,,,,,,,,,,,,,,,,,
113,2014-01-22,,,,,874.13266,,,,,,,,,,,,,,,,,,,,
114,2014-01-23,,,,,864.56116,,,,,,,,,,,,,,,,,,,,
115,2014-01-24,,,,,838.14997,,,,,,,,,,,,,,,,,,,,
116,2014-01-25,,,,,834.57416,,,,,,,,,,,,,,,,,,,,
117,2014-01-26,,,,,858.12641,,,,,,,,,,,,,,,,,,,,
118,2014-01-27,,,,,887.08337,,,,,,,,,,,,,,,,,,,,
119,2014-01-28,,,,,830.53133,,,,,,,,,,,,,,,,,,,,
120,2014-01-29,,,,,832.89496,,,,,,,,,,,,,,,,,,,,
121,2014-01-30,,,,,832.87399,,,,,,,,,,,,,,,,,,,,
122,2014-01-31,,,,,841.48914,,,,,,,,,,,,,,,,,,,,
123,2014-02-01,,,,,847.36383,,,,,,,,,,,,,,,,,,,,
124,2014-02-02,,,,,854.7225,,,,,,,,,,,,,,,,,,,,
125,2014-02-03,,,,,856.03366,,,,,,,,,,,,,,,,,,,,
126,2014-02-04,,,,,847.70697,,,,,,,,,,,,,,,,,,,,
127,2014-02-05,,,,,844.28836,,,,,,,,,,,,,,,,,,,,
128,2014-02-06,,,,,802.75333,,,,,,,,,,,,,,,,,,,,
129,2014-02-07,,,,,748.43559,,,,,,,,,,,,,,,,,,,,
130,2014-02-08,,,,,692.66914,,,,,,,,,,,,,,,,,,,,
131,2014-02-09,,,,,668.86463,,,,,,,,,,,,,,,,,,,,
132,2014-02-10,,,,,700.44843,,,,,,,,,,,,,,,,,,,,
133,2014-02-11,,,,,694.3125,,,,,,,,,,,,,,,,,,,,
134,2014-02-12,,,,,665.7975,,,,,,,,,,,,,,,,,,,,
135,2014-02-13,,,,,645.615,,,,,,,,,,,,,,,,,,,,
