,Date,24h High (USD)_ADA,24h High (USD)_BAT,24h High (USD)_BCH,24h High (USD)_BSV,24h High (USD)_BTC,24h High (USD)_BTG,24h High (USD)_DAI,24h High (USD)_DASH,24h High (USD)_DCR,24h High (USD)_DOGE,24h High (USD)_EOS,24h High (USD)_ETC,24h High (USD)_ETH,24h High (USD)_IOTA,24h High (USD)_LINK,24h High (USD)_LSK,24h High (USD)_NEO,24h High (USD)_QTUM,24h High (USD)_USDT,24h High (USD)_XEM,24h High (USD)_XLM,24h High (USD)_XMR,24h High (USD)_XRP,24h High (USD)_XTZ,24h High (USD)_ZRX
0,2013-10-01,,,,,124.75166,,,,,,,,,,,,,,,,,,,,
1,2013-10-02,,,,,125.7585,,,,,,,,,,,,,,,,,,,,
2,2013-10-03,,,,,125.66566,,,,,,,,,,,,,,,,,,,,
3,2013-10-04,,,,,118.675,,,,,,,,,,,,,,,,,,,,
4,2013-10-05,,,,,121.93633,,,,,,,,,,,,,,,,,,,,
5,2013-10-06,,,,,121.85216,,,,,,,,,,,,,,,,,,,,
6,2013-10-07,,,,,121.99166,,,,,,,,,,,,,,,,,,,,
7,2013-10-08,,,,,123.64016,,,,,,,,,,,,,,,,,,,,
8,2013-10-09,,,,,124.7835,,,,,,,,,,,,,,,,,,,,
9,2013-10-10,,,,,128.01683,,,,,,,,,,,,,,,,,,,,
10,2013-10-11,,,,,126.43666,,,,,,,,,,,,,,,,,,,,
11,2013-10-12,,,,,126.0365,,,,,,,,,,,,,,,,,,,,
12,2013-10-13,,,,,126.8965,,,,,,,,,,,,,,,,,,,,
13,2013-10-14,,,,,135.24199,,,,,,,,,,,,,,,,,,,,
14,2013-10-15,,,,,135.69216,,,,,,,,,,,,,,,,,,,,
15,2013-10-16,,,,,143.60483,,,,,,,,,,,,,,,,,,,,
16,2013-10-17,,,,,145.601,,,,,,,,,,,,,,,,,,,,
17,2013-10-18,,,,,144.311,,,,,,,,,,,,,,,,,,,,
18,2013-10-19,,,,,152.6685,,,,,,,,,,,,,,,,,,,,
19,2013-10-20,,,,,167.07999,,,,,,,,,,,,,,,,,,,,
20,2013-10-21,,,,,164.3315,,,,,,,,,,,,,,,,,,,,
21,2013-10-22,,,,,177.71166,,,,,,,,,,,,,,,,,,,,
22,2013-10-23,,,,,188.82383,,,,,,,,,,,,,,,,,,,,
23,2013-10-24,,,,,202.34333,,,,,,,,,,,,,,,,,,,,
24,2013-10-25,,,,,201.33316,,,,,,,,,,,,,,,,,,,,
25,2013-10-26,,,,,184.09033,,,,,,,,,,,,,,,,,,,,
26,2013-10-27,,,,,180.3185,,,,,,,,,,,,,,,,,,,,
27,2013-10-28,,,,,188.3985,,,,,,,,,,,,,,,,,,,,
28,2013-10-29,,,,,192.83983,,,,,,,,,,,,,,,,,,,,
29,2013-10-30,,,,,198.41366,,,,,,,,,,,,,,,,,,,,
30,2013-10-31,,,,,198.79333,,,,,,,,,,,,,,,,,,,,
31,2013-11-01,,,,,198.57,,,,,,,,,,,,,,,,,,,,
32,2013-11-02,,,,,199.09783,,,,,,,,,,,,,,,,,,,,
33,2013-11-03,,,,,201.24116,,,,,,,,,,,,,,,,,,,,
34,2013-11-04,,,,,211.17133,,,,,,,,,,,,,,,,,,,,
35,2013-11-05,,,,,227.02833,,,,,,,,,,,,,,,,,,,,
